店家,產品類別,品牌,名稱,售價
筑蒂資訊有限公司,CPU,intel,i3-14100【4核/8緒】3.5GHz(↑4.7GHz)/12M/UHD730/60W,4999
筑蒂資訊有限公司,CPU,intel,i5-14500【6+8核/20緒】2.6GHz(↑5.0G)/24M/UHD770/65W,8499
筑蒂資訊有限公司,CPU,intel,i7-14700【8+12核/28緒】2.1GHz(↑5.4G)/33M/UHD770/65W,13399
筑蒂資訊有限公司,CPU,intel,i9-14900【8+16核/32緒】2.0GHz(↑5.8G)/UHD770/65W,20999
筑蒂資訊有限公司,主機板,ASUS,華碩 TUF GAMING B760M-E D4 (mATX/1H1P/註5年),3999
筑蒂資訊有限公司,主機板,ASUS,華碩 TUF GAMING B760M-PLUS WIFI D4 (註五年) ,5590
筑蒂資訊有限公司,主機板,ASUS,華碩 ROG STRIX B760-A GAMING WIFI (註5年),6690
筑蒂資訊有限公司,主機板,ASUS,華碩 ROG STRIX Z790-A GAMING WIFI II (註5年),11990
筑蒂資訊有限公司,記憶體,金士頓,金士頓DDR4-3200-16G (終身保),1049
筑蒂資訊有限公司,記憶體,美光Crucial,DDR5-5600-16G* 2條=32G (終身保),1599
筑蒂資訊有限公司,SSD,金士頓,ANACOMDA巨蟒 I4F PCIe Gen4x4 NVMe M.2 SSD 1TB TLC顆粒 5年保固,2030
筑蒂資訊有限公司,SSD,SP廣穎,SP廣穎 1TB M.2 PCIe固態硬碟,1699
筑蒂資訊有限公司,HDD,Seagate,Seagate 1TB 64M/7200轉 (三年保),1699
筑蒂資訊有限公司,HDD,Seagate,Seagate 希捷 【SkyHawk監控鷹】3.5吋 1TB 64M 5900R 3年保,1790
筑蒂資訊有限公司,GPU,微星 ,GeForce RTX 3060 VENTUS 2X 8G OC 顯示卡,8990
筑蒂資訊有限公司,GPU,微星 ,RTX 3070 VENTUS 3X PLUS 8G OC LHR,18900
筑蒂資訊有限公司,GPU,ASUS,華碩 RTX3080-O10G-NOCTUA,26990
筑蒂資訊有限公司,GPU,ZOTAC ,RTX3090 AMP Core Holo(1755MHz/32.77cm/註冊五年/三風扇),49890
筑蒂資訊有限公司,電源供應器,MSI 微星,MSI 微星 MAG A650BN 電源供應器 650W 銅牌 直出 五年保固,1990
筑蒂資訊有限公司,電源供應器,威剛,威剛 XPG CORE PYLON 電源供應器 銅牌 750W 電供 5年保固,1890
筑蒂資訊有限公司,電源供應器,海韻,海韻 Focus GX-650 (金牌/模組化/十年保)  ,3090
筑蒂資訊有限公司,機殼,安鈦克 Antec,安鈦克 Antec P10C 靜音機殼  (無側透/內建風扇前3+後1),2790
筑蒂資訊有限公司,機殼,CM 酷碼,CM 酷碼 MasterBox MB400L 電腦機殼 (M-ATX),1290
